group,registry,test,host_code,core_x,core_y,in0_reads,in1_reads
sweep_pattern,18,3,CDA,5,1,0,1
sweep_pattern,18,3,CDA,5,2,0,1
sweep_pattern,18,3,CDA,5,3,0,1
sweep_pattern,18,3,CDA,5,4,0,1
sweep_pattern,18,3,CDA,5,5,0,1
sweep_pattern,18,3,CDA,5,6,0,1
sweep_pattern,18,3,CDA,6,0,0,1
sweep_pattern,18,3,CDA,6,1,0,1
sweep_pattern,18,3,CDA,6,2,0,1
sweep_pattern,18,3,CDA,6,3,0,1
sweep_pattern,18,3,CDA,6,4,0,1
sweep_pattern,18,3,CDA,6,5,0,1
sweep_pattern,18,3,CDA,6,6,0,1
sweep_pattern,18,3,CDA,7,0,0,1
sweep_pattern,18,3,CDA,7,1,0,1
sweep_pattern,18,3,CDA,7,2,0,1
sweep_pattern,18,3,CDA,7,3,0,1
sweep_pattern,18,3,CDA,7,4,0,1
sweep_pattern,18,3,CDA,7,5,0,1
sweep_pattern,18,3,CDA,7,6,0,1
sweep_pattern,19,0,CDA,0,0,20,20
sweep_pattern,19,0,CDA,1,0,0,20
sweep_pattern,19,0,CDA,2,0,0,20
sweep_pattern,19,0,CDA,3,0,0,20
sweep_pattern,19,0,CDA,4,0,0,20
sweep_pattern,19,0,CDA,5,0,0,20
sweep_pattern,19,0,CDA,6,0,0,20
sweep_pattern,19,0,CDA,7,0,0,20
sweep_pattern,19,1,CDA,0,0,3,0
sweep_pattern,19,1,CDA,0,1,3,0
sweep_pattern,19,1,CDA,0,2,3,0
sweep_pattern,19,1,CDA,0,3,3,0
sweep_pattern,19,1,CDA,0,4,3,0
sweep_pattern,19,1,CDA,0,5,3,1
sweep_pattern,19,1,CDA,0,6,2,2
sweep_pattern,19,1,CDA,1,5,0,1
sweep_pattern,19,1,CDA,1,6,0,2
sweep_pattern,19,1,CDA,2,5,0,1
sweep_pattern,19,1,CDA,2,6,0,2
sweep_pattern,19,1,CDA,3,5,0,1
sweep_pattern,19,1,CDA,3,6,0,2
sweep_pattern,19,1,CDA,4,5,0,1
sweep_pattern,19,1,CDA,4,6,0,2
sweep_pattern,19,1,CDA,5,5,0,1
sweep_pattern,19,1,CDA,5,6,0,2
sweep_pattern,19,1,CDA,6,5,0,1
sweep_pattern,19,1,CDA,6,6,0,2
sweep_pattern,19,1,CDA,7,5,0,1
sweep_pattern,19,1,CDA,7,6,0,2
sweep_pattern,19,2,CDA,0,0,3,3
sweep_pattern,19,2,CDA,0,1,3,3
sweep_pattern,19,2,CDA,0,2,3,3
